onset	duration	brlr
0.00	0.04	0
0.04	0.04	0
0.08	0.04	-1
0.12	0.04	-2
0.16	0.04	-2
0.20	0.04	-4
0.24	0.04	-4
0.28	0.04	-5
0.32	0.04	-7
0.36	0.04	-7
0.40	0.04	-8
0.44	0.04	-9
0.48	0.04	-11
0.52	0.04	-11
0.56	0.04	-12
0.60	0.04	-12
0.64	0.04	-12
0.68	0.04	-13
0.72	0.04	-15
0.76	0.04	-16
0.80	0.04	-17
0.84	0.04	-17
0.88	0.04	-18
0.92	0.04	-18
0.96	0.04	-17
1.00	0.04	-19
1.04	0.04	-20
1.08	0.04	-19
1.12	0.04	-20
1.16	0.04	-19
1.20	0.04	-19
1.24	0.04	-19
1.28	0.04	-20
1.32	0.04	-20
1.36	0.04	-19
1.40	0.04	-20
1.44	0.04	-20
1.48	0.04	-20
1.52	0.04	-20
1.56	0.04	-20
1.60	0.04	-20
1.64	0.04	-20
1.68	0.04	-21
1.72	0.04	-20
1.76	0.04	-19
1.80	0.04	-20
1.84	0.04	-20
1.88	0.04	-19
1.92	0.04	-19
1.96	0.04	-19
2.00	0.04	-18
2.04	0.04	-18
2.08	0.04	-18
2.12	0.04	-18
2.16	0.04	-18
2.20	0.04	-20
2.24	0.04	-20
2.28	0.04	-19
2.32	0.04	-19
2.36	0.04	-17
2.40	0.04	-17
2.44	0.04	-18
2.48	0.04	-17
2.52	0.04	-18
2.56	0.04	-19
2.60	0.04	-19
2.64	0.04	-18
2.68	0.04	-19
2.72	0.04	-19
2.76	0.04	-19
2.80	0.04	-18
2.84	0.04	-20
2.88	0.04	-18
2.92	0.04	-18
2.96	0.04	-17
3.00	0.04	-18
3.04	0.04	-18
3.08	0.04	-18
3.12	0.04	-18
3.16	0.04	-17
3.20	0.04	-18
3.24	0.04	-17
3.28	0.04	-18
3.32	0.04	-18
3.36	0.04	-19
3.40	0.04	-19
3.44	0.04	-19
3.48	0.04	-18
3.52	0.04	-17
3.56	0.04	-18
3.60	0.04	-18
3.64	0.04	-17
3.68	0.04	-18
3.72	0.04	-17
3.76	0.04	-18
3.80	0.04	-17
3.84	0.04	-18
3.88	0.04	-18
3.92	0.04	-16
3.96	0.04	-17
4.00	0.04	-18
4.04	0.04	-17
4.08	0.04	-16
4.12	0.04	-17
4.16	0.04	-17
4.20	0.04	-16
4.24	0.04	-17
4.28	0.04	-17
4.32	0.04	-17
4.36	0.04	-16
4.40	0.04	-17
4.44	0.04	-16
4.48	0.04	-17
4.52	0.04	-17
4.56	0.04	-18
4.60	0.04	-18
4.64	0.04	-17
4.68	0.04	-17
4.72	0.04	-18
4.76	0.04	-18
4.80	0.04	-18
4.84	0.04	-18
4.88	0.04	-19
4.92	0.04	-19
4.96	0.04	-17
5.00	0.04	-18
5.04	0.04	-19
5.08	0.04	-17
5.12	0.04	-19
5.16	0.04	-18
5.20	0.04	-18
5.24	0.04	-19
5.28	0.04	-19
5.32	0.04	-18
5.36	0.04	-19
5.40	0.04	-20
5.44	0.04	-19
5.48	0.04	-19
5.52	0.04	-19
5.56	0.04	-18
5.60	0.04	-19
5.64	0.04	-19
5.68	0.04	-20
5.72	0.04	-19
5.76	0.04	-19
5.80	0.04	-20
5.84	0.04	-18
5.88	0.04	-20
5.92	0.04	-20
5.96	0.04	-20
6.00	0.04	-21
6.04	0.04	-21
6.08	0.04	-20
6.12	0.04	-19
6.16	0.04	-20
6.20	0.04	-19
6.24	0.04	-10
6.28	0.04	-9
6.32	0.04	-9
6.36	0.04	-9
6.40	0.04	-9
6.44	0.04	-9
6.48	0.04	-9
6.52	0.04	-10
6.56	0.04	-8
6.60	0.04	-8
6.64	0.04	-8
6.68	0.04	-9
6.72	0.04	-8
6.76	0.04	-8
6.80	0.04	-7
6.84	0.04	-8
6.88	0.04	-7
6.92	0.04	-5
6.96	0.04	-4
7.00	0.04	-3
7.04	0.04	-3
7.08	0.04	-3
7.12	0.04	-2
7.16	0.04	0
7.20	0.04	0
7.24	0.04	1
7.28	0.04	1
7.32	0.04	2
7.36	0.04	2
7.40	0.04	2
7.44	0.04	3
7.48	0.04	3
7.52	0.04	4
7.56	0.04	4
7.60	0.04	5
7.64	0.04	6
7.68	0.04	5
7.72	0.04	4
7.76	0.04	5
7.80	0.04	6
7.84	0.04	5
7.88	0.04	5
7.92	0.04	6
7.96	0.04	7
8.00	0.04	7
8.04	0.04	7
8.08	0.04	5
8.12	0.04	5
8.16	0.04	6
8.20	0.04	6
8.24	0.04	6
8.28	0.04	6
8.32	0.04	6
8.36	0.04	6
8.40	0.04	6
